"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"ZWINT",2.3324509968457,8.75125136835472,4.51222056429807,1.91646247431228e-05,0.004576296449224,2.68122125836133,"Upregulated"
"ZFP36",-2.03393131107051,9.2066355296091,-4.50016955549062,2.00738543561619e-05,0.00466599682740012,2.63895351402117,"Downregulated"
"PROS1",-2.30575591168109,6.60583857849684,-4.49995127283214,2.00907023947274e-05,0.00466599682740012,2.63818854838093,"Downregulated"
"WDFY3-AS2",-1.45027850067942,4.01515976690354,-4.4774637584823,2.1901705358637e-05,0.00501785827905853,2.55950405619995,"Downregulated"
"RPL23AP53",-0.75511242860066,4.56095008354974,-4.46847731690788,2.26687448342712e-05,0.00512434533226979,2.52812824864571,"No"
"ABCB1",-1.77946758789278,4.31751682997804,-4.46149490007859,2.32826061647996e-05,0.00519385927523701,2.50377633927145,"Downregulated"
"HOXA4",-1.35702022337958,4.74435880553371,-4.4509559268967,2.42396932466919e-05,0.00533713973122616,2.46706528106207,"Downregulated"
"MYCT1",-1.51115136814988,5.6403420998839,-4.44097146556303,2.51814477407975e-05,0.00547341365381387,2.4323355499295,"Downregulated"
"ARID5A",-1.32876163317545,6.36465371650731,-4.43218654566342,2.60392354467438e-05,0.00558821769321638,2.40181844097772,"Downregulated"
"ADGRD1",-1.8373762986162,3.75247299304207,-4.42702979893576,2.6555842029561e-05,0.00562784682211471,2.38392245792805,"Downregulated"
"NOP53",-0.966398461208852,8.66648660122167,-4.41994157222919,2.72821396086747e-05,0.00570818851842065,2.35934470388162,"No"
"MFAP4",-2.80248562700377,5.86540417765959,-4.41681740357579,2.76083200725783e-05,0.00570818851842065,2.34851976559286,"Downregulated"
"LEPR",-1.68970735265596,4.41678056484148,-4.4077036389956,2.85815245910775e-05,0.00583820684237504,2.31696885695653,"Downregulated"
"LHFPL6",-1.96977310159243,7.35734899852124,-4.3964936301731,2.98240944648664e-05,0.0060194963994922,2.27821705850967,"Downregulated"
"JUN",-1.8376634575706,8.39049560432889,-4.38615748330332,3.10159278351322e-05,0.00618640047666861,2.24254110908866,"Downregulated"
"HIC1",-1.29649915426158,4.70322127162543,-4.38162134321219,3.15533835863542e-05,0.00622041936422151,2.22690100362798,"Downregulated"
"KLF9",-0.942976473268115,5.41140172908109,-4.37707476248038,3.21010966472814e-05,0.00625565508687366,2.21123514654585,"No"
"NR3C2",-2.5660738784244,5.35093697353035,-4.37201577336487,3.2721329613606e-05,0.0062968610407994,2.19381579240016,"Downregulated"
"CCDC8",-2.42599449053731,5.45217072955995,-4.3693294275786,3.30553634912791e-05,0.0062968610407994,2.18457121434257,"Downregulated"
"ECRG4",-5.28638560346285,5.40325351478634,-4.36530612323834,3.35618072086534e-05,0.00632229866017233,2.17073245721239,"Downregulated"
"ABCA9",-1.72218687450682,4.32083306240075,-4.35645184349085,3.47028826007897e-05,0.0064654139737779,2.14030528531308,"Downregulated"
"PGM5-AS1",-1.34523174819961,5.00253121984077,-4.32962295821207,3.83936666501118e-05,0.00707528504767387,2.04834933707286,"Downregulated"
"JAM2",-2.08426079607871,5.75953742760406,-4.32266413204705,3.94111743371757e-05,0.00715277824794388,2.02455712934354,"Downregulated"
"CDK1",2.94642412395286,7.99317827340675,4.32100242942134,3.96579659848251e-05,0.00715277824794388,2.01887938946967,"Upregulated"
"LDB2",-1.84064731994405,6.77312016981851,-4.29147698187371,4.42997277298139e-05,0.00790586930453963,1.91822962295385,"Downregulated"
"CBLN4",-0.830606788116596,3.64563062783542,-4.28738931192586,4.49822583214687e-05,0.00790930006902461,1.90433004924733,"No"
"CSRNP3",-2.82964853981693,4.18157134197825,-4.28579039960296,4.52519822281106e-05,0.00790930006902461,1.89889548313971,"Downregulated"
"JPT1",1.89865319256791,8.97869218734729,4.2769836155461,4.6765787103566e-05,0.0080399418644189,1.86898540413698,"Upregulated"
"DPP3",1.4623365079377,8.11397509913379,4.27594287240893,4.69478733382961e-05,0.0080399418644189,1.86545339856558,"Upregulated"
"PGP",1.46689217304135,7.3874868667033,4.26474704803438,4.89503848528868e-05,0.00829904824795843,1.82749288097327,"Upregulated"
"CASQ2",-1.44614956178341,4.63729300904647,-4.24878088477896,5.19490709452525e-05,0.00872024305748327,1.77346960251356,"Downregulated"
"CNN1",-2.80546280338243,5.97044154064487,-4.23555466509099,5.45664350531382e-05,0.00901117994461892,1.72881692187542,"Downregulated"
"KLF2",-1.40472909596751,6.49998996526543,-4.23342744671657,5.49990773816738e-05,0.00901117994461892,1.72164373703306,"Downregulated"
"PSMD14",1.22966441489327,10.1663140135905,4.22982716417897,5.57388541626029e-05,0.00901117994461892,1.70950858914387,"Upregulated"
"LIMS2",-1.13498908045925,5.93284807440625,-4.22949156377455,5.58082985835193e-05,0.00901117994461892,1.7083777540704,"Downregulated"
"CBX7",-1.61908660210238,7.29933437704595,-4.21614275885876,5.86390774724995e-05,0.00937890713175049,1.66344529282894,"Downregulated"
"MICU3",-1.95364483862953,3.98470526085194,-4.20686329333398,6.06878062712935e-05,0.00937890713175049,1.63226508146991,"Downregulated"
"CARMN",-1.67422276266455,6.08027330208802,-4.20575168149467,6.09378005093401e-05,0.00937890713175049,1.6285329391239,"Downregulated"
"PCDHGA3",-0.908068856328018,4.04706437851403,-4.20409533487349,6.1312141453859e-05,0.00937890713175049,1.62297309532892,"No"
"ARRDC3",-1.45684345866461,8.01812575190809,-4.2040882962162,6.1313736930603e-05,0.00937890713175049,1.62294947179491,"Downregulated"
"PLA2R1",-1.54493944448389,4.31432147969222,-4.20368640629804,6.14049010041468e-05,0.00937890713175049,1.62160066945625,"Downregulated"
"MEG3",-1.41090394256447,4.60760062063065,-4.18930907162459,6.47534045765014e-05,0.00974222125710747,1.57340388713278,"Downregulated"
"FAT2",-2.11000570483847,4.04348702435261,-4.18855906882996,6.49328183350917e-05,0.00974222125710747,1.57089264947334,"Downregulated"
"TRIM59",1.77609226952782,5.62029299788295,4.18093607328243,6.67837132093129e-05,0.00980288348822539,1.54538533115113,"Upregulated"
"FAT4",-1.75608687943112,4.9197909597191,-4.18049779629699,6.68916572342648e-05,0.00980288348822539,1.54391974203839,"Downregulated"
"CCL14",-2.67940526909022,6.19420760122463,-4.17976808286574,6.70717520723219e-05,0.00980288348822539,1.54147982011997,"Downregulated"
"FAM110D",-0.863236728650873,4.04718970957704,-4.1768841618945,6.77880844077739e-05,0.00982289900042221,1.53183968346543,"No"
"LMOD1",-1.25096383401465,5.09930717757911,-4.1716849369302,6.90981428157491e-05,0.00986247555791642,1.51447122546461,"Downregulated"
"MTCH2",1.08955942893804,8.46525699231206,4.17118792693418,6.92246426443349e-05,0.00986247555791642,1.51281166845233,"Upregulated"
"C8orf88",-1.88037176631248,3.93555116127594,-4.1683965505839,6.99392568099096e-05,0.00988125133296006,1.50349346053844,"Downregulated"
"EBF1",-2.12979874626182,5.94514993099378,-4.16527423937549,7.07469979192551e-05,0.0099116375303863,1.49307540464958,"Downregulated"
"PDE2A",-1.28882842258381,4.84110855552864,-4.16306641150054,7.13235684031573e-05,0.0099116375303863,1.48571177300079,"Downregulated"
"IL33",-2.71578087382865,4.35591842381257,-4.14420190687467,7.64376658745059e-05,0.010462862067093,1.42289961249397,"Downregulated"
"MRGPRF",-1.73097275200345,5.276227552262,-4.14389250237264,7.6524412900763e-05,0.010462862067093,1.42187098142875,"Downregulated"
"DUSP1",-1.43702375363428,6.45189510871317,-4.13919596178253,7.78528464085564e-05,0.0105593372640853,1.4062633565851,"Downregulated"
"SF1",-1.34088417788495,7.64128539984994,-4.12877081997851,8.08812883570219e-05,0.0108103499895079,1.3716604105077,"Downregulated"
"SHANK3",-0.88215592421257,5.13942106287271,-4.12844143899602,8.09787925367172e-05,0.0108103499895079,1.37056808160229,"No"
"IER2",-1.43185890499151,10.3322340639595,-4.0938630671576,9.186764921358e-05,0.0121681572247425,1.25621950126834,"Downregulated"
"MYOM1",-0.622993593498983,3.70906846798733,-4.08732257588088,9.40796122480034e-05,0.0123645406670748,1.23466295927293,"No"
"MMRN2",-1.6133358319035,5.89690849612232,-4.08258575584453,9.57134068877921e-05,0.0124825007721202,1.2190655213848,"Downregulated"
"SPRY1",-1.72961282158462,7.25307954266524,-4.07759109784643,9.74656165107844e-05,0.0126139852085789,1.20263224698605,"Downregulated"
"EDNRB",-1.68209822200868,4.94188558784705,-4.05213069593528,0.000106886642759767,0.0137284556162809,1.11907406279996,"Downregulated"
"EPB41L4A-AS1",-1.62764156857695,8.71517021927851,-4.04744646592461,0.000108712515551787,0.0138579848771805,1.10373947282838,"Downregulated"
"RBMS3",-2.34545102829967,5.7494123868536,-4.03461560686361,0.00011386832971996,0.0144068930005388,1.06179713203975,"Downregulated"
"VIT",-2.38315484130921,4.48692298800674,-4.01309176851871,0.00012304776303015,0.0154529761067642,0.991641932781973,"Downregulated"
"ITGA1",-1.250334801858,5.19657156918367,-4.0059515381693,0.000126246557399396,0.0155631127291856,0.968425425405153,"Downregulated"
"AASS",-1.77313010356166,4.83289722313901,-4.00582941838431,0.000126301953474499,0.0155631127291856,0.968028597546615,"Downregulated"
"RELN",-2.3677566646811,4.26579069068339,-4.00500039082437,0.000126678633751776,0.0155631127291856,0.965334893484157,"Downregulated"
"GPRASP1",-2.10602776959383,5.7641221382006,-3.99522720375308,0.000131201134316163,0.0160027628143613,0.933608254303997,"Downregulated"
"JUNB",-1.54287321690285,7.04686672669138,-3.98945679686,0.000133943548870557,0.0162205637682244,0.914900720863188,"Downregulated"
"LTBP4",-0.576895790054126,5.30109292217824,-3.97706005346438,0.000140021998025191,0.0168364039327595,0.874773443335339,"No"
"EMCN",-2.03997271252808,6.22006916853431,-3.97442164092603,0.000141349340104479,0.0168763148741643,0.866244174851293,"Downregulated"
"TPX2",3.36350996560523,7.28823297404081,3.94879606840435,0.000154883423789133,0.0183628920763703,0.783606451240883,"Upregulated"
"HOXD9",-0.508945882313721,4.64647326865349,-3.9406078533661,0.000159463397258554,0.018742924835529,0.75727874652934,"No"
"RAB10",0.731084150864667,9.89266971205664,3.93913670630951,0.000160299876203357,0.018742924835529,0.752552547237966,"No"
"DST",-2.11962398705465,6.88360309624568,-3.93018770110937,0.000165479312218367,0.0192144108314471,0.723829342370662,"Downregulated"
"ANK2",-1.41544026898809,4.85124429248305,-3.92828846702735,0.000166598937844917,0.0192144108314471,0.717739281587588,"Downregulated"
"TRABD2B",-0.570759144110633,4.02920091582024,-3.91831715016421,0.000172597022410681,0.0196542472262772,0.685798891041258,"No"
"BOC",-1.61445756473359,6.11499085126116,-3.91809808671339,0.000172731086275528,0.0196542472262772,0.685097813825141,"Downregulated"
"ENTREP1",-3.13909371770755,5.65179834913201,-3.91082355718464,0.000177239968087118,0.0200328427929934,0.66183233142867,"Downregulated"
"UHRF1",2.67863333487144,8.1529353601995,3.89988343235685,0.000184233249235774,0.0206853675996245,0.626900164885019,"Upregulated"
"MELK",3.35436201308507,7.93487903866391,3.87292451877932,0.000202609241034718,0.0225989281085698,0.541111213920617,"Upregulated"
"CYYR1",-1.94325346493276,5.69336114126134,-3.86593710116357,0.000207650359763566,0.0230098313688333,0.518943773921293,"Downregulated"
"AKAP12",-1.64448401202627,5.28529227669988,-3.85855405243843,0.000213106925625026,0.0234611351756278,0.49555172980081,"Downregulated"
"TUBG1",1.26720427050227,7.82835801443842,3.84290833051597,0.000225125931191519,0.0246244195962646,0.446084634989474,"Upregulated"
"CRTAC1",-0.978176002702984,3.76170677509116,-3.83821921644079,0.000228852286719004,0.0248715491604743,0.431286635256041,"No"
"ATF3",-2.16284219879706,6.4276559206485,-3.83248385057559,0.000233490108034474,0.0249753148307489,0.413204184666322,"Downregulated"
"JMJD1C",-0.824317055195973,7.23710366136866,-3.83167944177972,0.00023414770660513,0.0249753148307489,0.410669572618876,"No"
"EGR2",-2.47275340391243,7.20979214070054,-3.83158327588594,0.000234226439665511,0.0249753148307489,0.410366588604271,"Downregulated"
"HYMAI",-1.9311049609823,5.02872988551266,-3.82674392925828,0.000238221287070163,0.0252425231311722,0.395126492575449,"Downregulated"
"ECT2",1.42046171861554,6.01209328101733,3.8196773907611,0.000244171566769971,0.0255550809958079,0.372896977565576,"Upregulated"
"SOCS3",-1.33696666768493,5.96398800852112,-3.81790681969819,0.00024568450523381,0.0255550809958079,0.36733177124586,"Downregulated"
"KLHL29",-2.31590000794035,5.61091619972534,-3.81789697106538,0.000245692945754199,0.0255550809958079,0.367300820425177,"Downregulated"
"PARP1",1.04950944134649,8.93332669919474,3.81599927992499,0.000247324483144646,0.0255679224831361,0.361338093592617,"Upregulated"
"FAM13C",-1.81903709358439,4.47073940992461,-3.81420395007552,0.000248877520547185,0.0255725423233756,0.355698928816258,"Downregulated"
"LRRN3",-1.61633966158754,3.86467069024296,-3.80795942469842,0.000254352028619849,0.0259776162242224,0.336099407944005,"Downregulated"
"ALDH1A1",-2.45791106944522,7.14125820781696,-3.79613283505193,0.000265036360580577,0.0269067452531923,0.29904209033617,"Downregulated"
"CCNF",1.19260944367514,5.56224500696814,3.79259829906733,0.000268311644944222,0.0270771168356211,0.287982912368744,"Upregulated"
"DLC1",-1.64948503118083,6.3609516875187,-3.78583594018738,0.000274685772614514,0.02755634667992,0.266844661312648,"Downregulated"
"KIF4A",2.91828244083347,6.42710969380572,3.77819933807938,0.000282057349779299,0.0281294135774013,0.243005957704116,"Upregulated"
"LAMA2",-2.43912365676539,6.23284704749631,-3.77364321732025,0.000286544690881649,0.0284098168959501,0.22879975414715,"Downregulated"
"RPS27",-0.926570981556273,9.98585954617977,-3.77080845190316,0.0002893708845876,0.0285232207982451,0.219966995299393,"No"
"ETV5",-1.16429109087927,5.62079517008315,-3.76901877115435,0.000291168801203278,0.0285345425179212,0.214393025406021,"Downregulated"
"PSMD1",0.816259628652801,8.86056512392078,3.76716108740759,0.000293046281832233,0.028553486564274,0.208609259851952,"No"
"GLRX2",1.40389871412104,8.34014008668256,3.75776677252334,0.000302718572436485,0.0293170621508069,0.179391969102345,"Upregulated"
"CKS2",2.15560024674583,9.6907637527088,3.75589149512071,0.000304685384209646,0.0293170621508069,0.173565914818348,"Upregulated"
"FGF7",-2.36186122405717,5.02967313339541,-3.75457770234977,0.000306070543865331,0.0293170621508069,0.16948550464923,"Downregulated"
"SOX7",-2.23269797988316,6.01785469485328,-3.7498142088302,0.000311143227209339,0.0296355183938603,0.154699508145,"Downregulated"
"CHRDL1",-2.95710766156055,6.37752927215618,-3.74040199503862,0.000321402546884922,0.0304416691613797,0.125523370754947,"Downregulated"
"ACVR2A",-1.17878379071479,6.5827492270038,-3.73568142583602,0.000326668379316732,0.0307685316829771,0.110910302931454,"Downregulated"
"CCDC167",1.69762688351049,8.10983129025278,3.73144372827035,0.000331465382941531,0.0310478679690095,0.0978033225174544,"Upregulated"
"SLC27A1",-1.1960000072776,7.31442390214406,-3.72845128090125,0.000334893065675271,0.0310570127048176,0.0885542850372669,"Downregulated"
"MIR205HG",-2.40185238076785,5.10488092916717,-3.72648165035317,0.000337167536905218,0.0310570127048176,0.0824694784568356,"Downregulated"
